hotel name --- Trio Paradise, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Highlander's Inn by Ivy Group of Hotels, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Bethel Homestay, Darjeeling, key -- paymenttype, error -- list index out of range 
hotel name --- Himawas, key -- cancelType, error -- list index out of range 
hotel name --- Himawas, key -- paymenttype, error -- list index out of range 
hotel name --- Hotel Lago Luxe, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Hotel Darj Inn, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Vantage Point Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Sagarmatha Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- The Whistle Stop, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- The Sherpas Rest, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Ganga Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Lake Kalibari Homes, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Laskus Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Vamoose Mendo Lamu Homestay, key -- cancelType, error -- list index out of range 
hotel name --- Vamoose Mendo Lamu Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Vamoose Mendo Lamu Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Kanchenjunga Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Outstation, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Greenwood Homestays, Rohini, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Snow View Homestay Dawaipani By StayApart, key -- cancelType, error -- list index out of range 
hotel name --- Snow View Homestay Dawaipani By StayApart, key -- paymenttype, error -- list index out of range 
hotel name --- Snow View Homestay Dawaipani By StayApart, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Rudransh homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Outstation, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Dangia Delight Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- DARJEELING HOTEL H - STAY INN Near Mall Road - Restaurant And Private Parking Facilities - Family Hotel - A Top Rated Hotel In Darjeeling, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Shree Balaji homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Goo Zimba Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Four Season Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Bon Best Inn, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Bon The Rink Heritage, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Sanjeevini homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Madys view -Aaple Ghar, key -- cancelType, error -- list index out of range 
hotel name --- Madys view -Aaple Ghar, key -- paymenttype, error -- list index out of range 
